Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Prolactin signaling pathway	3/58	7.972856493161916E-4	0.048719663333265155	0	0	18.565151515151516	132.44931474193564	MAPK9;SHC1;PIK3CB
Chronic myeloid leukemia	3/62	9.687476861350022E-4	0.048719663333265155	0	0	17.300847457627118	120.05934106603111	MECOM;SHC1;PIK3CB
ErbB signaling pathway	3/72	0.0014947533339452494	0.048719663333265155	0	0	14.781400966183575	96.16475089648968	MAPK9;SHC1;PIK3CB
Growth hormone synthesis, secretion and action	3/72	0.0014947533339452494	0.048719663333265155	0	0	14.781400966183575	96.16475089648968	MAPK9;SHC1;PIK3CB
Ras signaling pathway	4/163	0.0016799883908022468	0.048719663333265155	0	0	8.732434860736747	55.791250343870296	MAPK9;SHC1;PIK3CB;ETS2
Neurotrophin signaling pathway	3/95	0.0032998555079611987	0.06835414980776769	0	0	11.065217391304348	63.22528669216783	MAPK9;SHC1;PIK3CB
Relaxin signaling pathway	3/95	0.0032998555079611987	0.06835414980776769	0	0	11.065217391304348	63.22528669216783	MAPK9;SHC1;PIK3CB
Type II diabetes mellitus	2/31	0.00426661916601663	0.07623296836258725	0	0	22.887232059645854	124.89410402948494	MAPK9;PIK3CB
Insulin signaling pathway	3/108	0.004731701484574381	0.07623296836258725	0	0	9.684920634920635	51.84793613198044	MAPK9;SHC1;PIK3CB
Focal adhesion	3/117	0.0059124704082758215	0.08573082091999941	0	0	8.913742690058479	45.73366412154665	MAPK9;SHC1;PIK3CB
RNA degradation	2/49	0.010411603435376634	0.13016582737225177	0	0	14.101207590569294	64.36967720672102	PFKL;CNOT3
Bacterial invasion of epithelial cells	2/50	0.010823948562580118	0.13016582737225177	0	0	13.806306306306306	62.48726144137245	SHC1;PIK3CB
Fc epsilon RI signaling pathway	2/52	0.011670039695443262	0.13016582737225177	0	0	13.251891891891892	58.98059851414618	MAPK9;PIK3CB
Central carbon metabolism in cancer	2/59	0.014851191829495477	0.13158390527403108	0	0	11.61782835467046	48.90728342705848	PFKL;PIK3CB
Inflammatory mediator regulation of TRP channels	2/60	0.015332945936340723	0.13158390527403108	0	0	11.416589002795899	47.69567110637865	MAPK9;PIK3CB
