Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Insulin Signaling WP481	4/125	6.25983173255205E-4	0.041629053218943064	0	0	11.510743801652893	84.90539956141139	MAPK9;PFKL;SHC1;PIK3CB
Ras Signaling WP4223	4/133	7.902192073701692E-4	0.041629053218943064	0	0	10.789811738648948	77.07378508149147	MAPK9;SHC1;PIK3CB;ETS2
Prolactin Signaling WP2037	3/59	8.38168856757243E-4	0.041629053218943064	0	0	18.232142857142858	129.1618051537445	MAPK9;SHC1;PIK3CB
Osteoblast Differentiation And Related Diseases WP4787	3/71	0.0014355934984752374	0.04593157366461219	0	0	15.0	98.19265391230178	MAPK9;IHH;PIK3CB
ErbB Signaling WP673	3/76	0.0017466529285883072	0.04593157366461219	0	0	13.96689497716895	88.69053640475839	MAPK9;SHC1;PIK3CB
DNA Damage Response Only ATM Dependent WP710	3/78	0.0018819546642652903	0.04593157366461219	0	0	13.592222222222222	85.29723383896021	MAPK9;SHC1;PIK3CB
Familial Partial Lipodystrophy WP5102	2/22	0.0021578591654515793	0.04593157366461219	0	0	33.21081081081081	203.86916770067862	MAPK9;CIDEA
mBDNF And proBDNF Regulation Of GABA Neurotransmission WP4829	2/30	0.003999300246836214	0.06859915986594299	0	0	23.706563706563706	130.8990125511352	SHC1;PIK3CB
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	3/103	0.0041435734147213885	0.06859915986594299	0	0	10.173333333333334	55.81290796262976	MAPK9;SHC1;PIK3CB
Focal Adhesion WP306	3/118	0.0060535723854784566	0.09019822854362901	0	0	8.835507246376812	45.12387829354162	MAPK9;SHC1;PIK3CB
Translation Inhibitors In Chronically Activated PDGFRA Cells WP4566	2/40	0.007030050918144076	0.09522523516395157	0	0	17.453769559032718	86.52813303219685	MAPK9;PIK3CB
Oncostatin M Signaling WP2374	2/49	0.010411603435376634	0.12886715364454912	0	0	14.101207590569294	64.36967720672102	MAPK9;SHC1
AGE RAGE Pathway WP2324	2/51	0.01124344293543046	0.12886715364454912	0	0	13.523441809156095	60.69280344115836	MAPK9;SHC1
T Cell Receptor Signaling WP69	2/63	0.01681816973256829	0.16654022294584317	0	0	10.852459016393443	44.33550139004747	MAPK9;SHC1
EGFR Tyrosine Kinase Inhibitor Resistance WP4806	2/66	0.01836240171447145	0.16654022294584317	0	0	10.341216216216216	41.3384956943257	SHC1;PIK3CB
B Cell Receptor Signaling WP23	2/70	0.020511118430496522	0.16654022294584317	0	0	9.72972972972973	37.817398482809764	MAPK9;SHC1
Pancreatic Adenocarcinoma Pathway WP4263	2/74	0.022759860007104324	0.16654022294584317	0	0	9.186186186186186	34.74910845085053	MAPK9;PIK3CB
Hedgehog Signaling WP47	1/8	0.02499853279298369	0.16654022294584317	0	0	46.244360902255636	170.59258688263503	IHH
Macrophage Stimulating Protein MSP Signaling WP5353	2/80	0.026314583820874593	0.16654022294584317	0	0	8.475398475398475	30.830380499914202	MAPK9;SHC1
TGF Beta Signaling Pathway WP366	2/83	0.028171238803241853	0.16654022294584317	0	0	8.159492826159493	29.124932038659587	MAPK9;SHC1
Resolvin E1 And Resolvin D1 Signaling Decrease Inflammation WP5191	1/10	0.03115241398067051	0.16654022294584317	0	0	35.961988304093566	124.74723010377159	PIK3CB
Fragile X Syndrome WP4549	2/88	0.03137933444060277	0.16654022294584317	0	0	7.68196103079824	26.59192041073332	SHC1;PIK3CB
Effect Of Omega 3 PUFA On Huntington 39 S Disease Pathways WP5470	2/89	0.03203764399728518	0.16654022294584317	0	0	7.593041317179249	26.126468324277834	MAPK9;PIK3CB
Gastrin Signaling WP4659	2/89	0.03203764399728518	0.16654022294584317	0	0	7.593041317179249	26.126468324277834	MAPK9;SHC1
Disorders Of Fructose Metabolism WP5178	1/11	0.03421514702193388	0.16654022294584317	0	0	32.363157894736844	109.22846823319854	PFKL
Epithelial To Mesenchymal Transition In Colorectal Cancer WP4239	2/98	0.03820396775830227	0.16654022294584317	0	0	6.876126126126126	22.44928591210561	SHC1;PIK3CB
Brain Derived Neurotrophic Factor BDNF Signaling WP2380	2/100	0.03963161373286479	0.16654022294584317	0	0	6.73469387755102	21.74045490544971	MAPK9;SHC1
Canonical And Non Canonical TGF B Signaling WP3874	1/13	0.040312339461384586	0.16654022294584317	0	0	26.964912280701753	86.58696690968631	MAPK9
MAPK Pathway In Congenital Thyroid Cancer WP4928	1/13	0.040312339461384586	0.16654022294584317	0	0	26.964912280701753	86.58696690968631	SHC1
Extracellular Vesicles In The Crosstalk Of Cardiac Cells WP4300	1/13	0.040312339461384586	0.16654022294584317	0	0	26.964912280701753	86.58696690968631	ETS2
NAD Metabolism WP3644	1/14	0.043346855248542	0.16654022294584317	0	0	24.888663967611336	78.11359755257504	NT5E
Cancer Immunotherapy By CTLA4 Blockade WP4582	1/14	0.043346855248542	0.16654022294584317	0	0	24.888663967611336	78.11359755257504	PIK3CB
BMP Signaling In Eyelid Development WP3927	1/14	0.043346855248542	0.16654022294584317	0	0	24.888663967611336	78.11359755257504	MAPK9
Measles Virus Infection WP4630	2/106	0.044034565462816616	0.16654022294584317	0	0	6.343035343035343	19.80790628569653	MAPK9;PIK3CB
Type I Collagen Synthesis Osteogenesis Imperfecta WP4786	1/17	0.05239441770373412	0.16654022294584317	0	0	20.217105263157894	59.61933821434885	P3H2
EGF EGFR Signaling WP437	2/118	0.05335434317544164	0.16654022294584317	0	0	5.681267474370923	16.650658119902563	MAPK9;SHC1
Hepatitis B Infection WP4666	2/120	0.05497094486503245	0.16654022294584317	0	0	5.584058634906093	16.19907773652175	MAPK9;PIK3CB
Nonalcoholic Fatty Liver Disease WP4396	2/120	0.05497094486503245	0.16654022294584317	0	0	5.584058634906093	16.19907773652175	MAPK9;PIK3CB
17P13 3 YWHAE Copy Number Variation WP5376	1/18	0.055391703343166794	0.16654022294584317	0	0	19.026315789473685	55.04932379982637	DCTN4
Differentiation Of White And Brown Adipocyte WP2895	1/18	0.055391703343166794	0.16654022294584317	0	0	19.026315789473685	55.04932379982637	CIDEA
Chemokine Signaling WP3929	2/122	0.05660489718932563	0.16654022294584317	0	0	5.49009009009009	15.765670871389965	SHC1;PIK3CB
Hypothesized Pathways In Pathogenesis Of Cardiovascular Disease WP3668	1/19	0.05837975108838275	0.16654022294584317	0	0	17.96783625730994	51.04278087415018	SHC1
Alpha 6 Beta 4 Signaling WP244	1/19	0.05837975108838275	0.16654022294584317	0	0	17.96783625730994	51.04278087415018	SHC1
Glycerophospholipid Biosynthetic Pathway WP2533	1/20	0.06135858865915224	0.16654022294584317	0	0	17.020775623268698	47.50532727666289	PIK3CB
Estrogen Signaling WP712	1/20	0.06135858865915224	0.16654022294584317	0	0	17.020775623268698	47.50532727666289	MAPK9
Cannabinoid Receptor Signaling WP3869	1/20	0.06135858865915224	0.16654022294584317	0	0	17.020775623268698	47.50532727666289	MAPK9
Circadian Rhythm Genes WP3594	2/130	0.06330884360007115	0.16654022294584317	0	0	5.143581081081081	14.19489630416886	ATOH7;MAPK9
Nanoparticle Mediated Activation Of Receptor Signaling WP2643	1/21	0.06432824366335088	0.16654022294584317	0	0	16.16842105263158	44.36221029186646	MAPK9
EPO Receptor Signaling WP581	1/21	0.06432824366335088	0.16654022294584317	0	0	16.16842105263158	44.36221029186646	SHC1
Wnt Signaling In Kidney Disease WP4150	1/21	0.06432824366335088	0.16654022294584317	0	0	16.16842105263158	44.36221029186646	MAPK9
Pleural Mesothelioma WP5087	3/293	0.06461889047326014	0.16654022294584317	0	0	3.453448275862069	9.459852970645024	MAPK9;SHC1;PIK3CB
13Q12 12 Copy Number Variation WP5406	1/23	0.07024011610627998	0.16654022294584317	0	0	14.696172248803828	39.030618568756545	MAPK9
Cardiomyocyte Signaling Converging On Titin WP5344	1/23	0.07024011610627998	0.16654022294584317	0	0	14.696172248803828	39.030618568756545	FHL1
FGFR3 Signal Chondrocyte Proliferation Terminal Differentiation WP4767	1/23	0.07024011610627998	0.16654022294584317	0	0	14.696172248803828	39.030618568756545	IHH
Resistin As A Regulator Of Inflammation WP4481	1/23	0.07024011610627998	0.16654022294584317	0	0	14.696172248803828	39.030618568756545	PIK3CB
4 Hydroxytamoxifen DEX And Retinoic Acids Regulation Of P27 WP3879	1/23	0.07024011610627998	0.16654022294584317	0	0	14.696172248803828	39.030618568756545	PIK3CB
Relationship Between Inflammation COX 2 And EGFR WP4483	1/23	0.07024011610627998	0.16654022294584317	0	0	14.696172248803828	39.030618568756545	PIK3CB
Rett Syndrome WP4312	1/24	0.07318238840444607	0.16654022294584317	0	0	14.056064073226544	36.753803121149645	RHOBTB2
G13 Signaling WP524	1/24	0.07318238840444607	0.16654022294584317	0	0	14.056064073226544	36.753803121149645	PIK3CB
PI3K AKT mTOR Signaling And Therapeutic In Prostate Cancer WP3844	1/24	0.07318238840444607	0.16654022294584317	0	0	14.056064073226544	36.753803121149645	PIK3CB
PDGFR Beta Pathway WP3972	1/24	0.07318238840444607	0.16654022294584317	0	0	14.056064073226544	36.753803121149645	SHC1
White Fat Cell Differentiation WP4149	1/24	0.07318238840444607	0.16654022294584317	0	0	14.056064073226544	36.753803121149645	MECOM
Host Pathogen Interaction Of Human Coronaviruses MAPK Signaling WP4877	1/25	0.07611558786258515	0.16654022294584317	0	0	13.469298245614034	34.69020727957022	MAPK9
BDNF TrkB Signaling WP3676	1/26	0.07903974171062012	0.16654022294584317	0	0	12.929473684210526	32.81247641281614	SHC1
P38 MAPK Signaling WP400	1/26	0.07903974171062012	0.16654022294584317	0	0	12.929473684210526	32.81247641281614	SHC1
